PA0041	gnl|AGSH|F1S1R1D1B1P1A09_41	98.952	10600	3722	3722	3683	adhesin	
PA0044	gnl|AGSH|F1S1R1D1B1P1A09_11	98.908	1374	239410	1374	1359	toxin	exoT
PA0051	gnl|AGSH|F1S1R1D1B1P1A09_11	99.454	1833	239410	1833	1823	toxin	phzH
PA0071	gnl|AGSH|F1S1R1D1B1P1A09_11	99.883	1713	239410	1713	1711	secretion systems	tagR1
PA0072	gnl|AGSH|F1S1R1D1B1P1A09_11	99.75	1200	239410	1200	1197	secretion systems	tagS1
PA0073	gnl|AGSH|F1S1R1D1B1P1A09_11	99.306	720	239410	720	715	secretion systems	tagT1
PA0074	gnl|AGSH|F1S1R1D1B1P1A09_11	99.355	3099	239410	3099	3079	secretion systems	ppkA
PA0075	gnl|AGSH|F1S1R1D1B1P1A09_11	99.863	729	239410	729	728	secretion systems	pppA
PA0076	gnl|AGSH|F1S1R1D1B1P1A09_11	100.0	681	239410	681	681	secretion systems	tagF1
PA0077	gnl|AGSH|F1S1R1D1B1P1A09_11	99.637	3306	239410	3306	3294	secretion systems	icmF1
PA0078	gnl|AGSH|F1S1R1D1B1P1A09_11	99.926	1350	239410	1350	1349	secretion systems	tssL1
PA0079	gnl|AGSH|F1S1R1D1B1P1A09_11	99.476	1335	239410	1335	1328	secretion systems	tssK1
PA0080	gnl|AGSH|F1S1R1D1B1P1A09_11	99.785	465	239410	465	464	secretion systems	tssJ1
PA0081	gnl|AGSH|F1S1R1D1B1P1A09_11	99.6	1494	239410	1500	1494	secretion systems	fha1
PA0082	gnl|AGSH|F1S1R1D1B1P1A09_11	99.614	1035	239410	1035	1031	secretion systems	tssA1
PA0083	gnl|AGSH|F1S1R1D1B1P1A09_11	100.0	519	239410	519	519	secretion systems	tssB1
PA0084	gnl|AGSH|F1S1R1D1B1P1A09_11	100.0	1497	239410	1497	1497	secretion systems	tssC1
PA0085	gnl|AGSH|F1S1R1D1B1P1A09_11	100.0	489	239410	489	489	secretion systems	hcp1
PA0086	gnl|AGSH|F1S1R1D1B1P1A09_11	99.764	846	239410	846	844	secretion systems	tagJ1
PA0087	gnl|AGSH|F1S1R1D1B1P1A09_11	99.804	510	239410	510	509	secretion systems	tssE1
PA0088	gnl|AGSH|F1S1R1D1B1P1A09_11	99.785	1860	239410	1860	1856	secretion systems	tssF1
PA0089	gnl|AGSH|F1S1R1D1B1P1A09_11	99.904	1047	239410	1047	1046	secretion systems	tssG1
PA0090	gnl|AGSH|F1S1R1D1B1P1A09_11	99.668	2709	239410	2709	2700	secretion systems	clpV1
PA0091	gnl|AGSH|F1S1R1D1B1P1A09_11	99.845	1932	239410	1932	1929	secretion systems	vgrG1
PA0151	gnl|AGSH|F1S1R1D1B1P1A09_11	99.372	2388	239410	2388	2373	other	
PA0158	gnl|AGSH|F1S1R1D1B1P1A09_11	99.803	3048	239410	3048	3042	other	triC
PA0328	gnl|AGSH|F1S1R1D1B1P1A09_8	99.383	1944	330869	1944	1932	other	aaaA
PA0395	gnl|AGSH|F1S1R1D1B1P1A09_8	99.807	1035	330869	1035	1033	surface appendages	pilT
PA0396	gnl|AGSH|F1S1R1D1B1P1A09_8	99.913	1149	330869	1149	1148	surface appendages	pilU
PA0408	gnl|AGSH|F1S1R1D1B1P1A09_8	99.755	408	330869	408	407	surface appendages	pilG
PA0409	gnl|AGSH|F1S1R1D1B1P1A09_8	99.727	366	330869	366	365	surface appendages	pilH
PA0410	gnl|AGSH|F1S1R1D1B1P1A09_8	100.0	537	330869	537	537	surface appendages	pilI
PA0411	gnl|AGSH|F1S1R1D1B1P1A09_8	99.707	2049	330869	2049	2043	surface appendages	pilJ
PA0412	gnl|AGSH|F1S1R1D1B1P1A09_8	99.201	876	330869	876	869	surface appendages	pilK
PA0413	gnl|AGSH|F1S1R1D1B1P1A09_8	99.757	7419	330869	7419	7401	surface appendages	chpA
PA0414	gnl|AGSH|F1S1R1D1B1P1A09_8	99.225	1032	330869	1032	1024	surface appendages	chpB
PA0415	gnl|AGSH|F1S1R1D1B1P1A09_8	99.014	507	330869	507	502	surface appendages	chpC
PA0416	gnl|AGSH|F1S1R1D1B1P1A09_8	99.497	795	330869	795	791	surface appendages	chpD
PA0417	gnl|AGSH|F1S1R1D1B1P1A09_8	99.346	612	330869	612	608	surface appendages	chpE
PA0423	gnl|AGSH|F1S1R1D1B1P1A09_8	99.826	576	330869	576	575	protease	pasP
PA0552	gnl|AGSH|F1S1R1D1B1P1A09_8	99.656	1164	330869	1164	1160	other	pgk
PA0584	gnl|AGSH|F1S1R1D1B1P1A09_19	99.351	1233	139712	1233	1225	other	cca
PA0652	gnl|AGSH|F1S1R1D1B1P1A09_19	99.845	645	139712	645	644	other	vfr
PA0690	gnl|AGSH|F1S1R1D1B1P1A09_18	99.139	12543	163110	12542	12434	secretion systems	pdtA
PA0762	gnl|AGSH|F1S1R1D1B1P1A09_18	100.0	582	163110	582	582	exopolysaccharide	algU
PA0763	gnl|AGSH|F1S1R1D1B1P1A09_18	99.829	585	163110	585	584	exopolysaccharide	mucA
PA0764	gnl|AGSH|F1S1R1D1B1P1A09_18	99.79	951	163110	951	949	exopolysaccharide	mucB
PA0765	gnl|AGSH|F1S1R1D1B1P1A09_18	99.781	456	163110	456	455	exopolysaccharide	mucC
PA0766	gnl|AGSH|F1S1R1D1B1P1A09_18	99.719	1425	163110	1425	1421	exopolysaccharide	mucD
PA0844	gnl|AGSH|F1S1R1D1B1P1A09_1	99.681	2193	514470	2193	2186	toxin	plcH
PA0905	gnl|AGSH|F1S1R1D1B1P1A09_1	100.0	186	514470	186	186	secretion systems	rsmA
PA0928	gnl|AGSH|F1S1R1D1B1P1A09_1	99.604	2778	514470	2778	2767	secretion systems	gacS
PA0934	gnl|AGSH|F1S1R1D1B1P1A09_1	99.822	2244	514470	2244	2240	quorum sensing	relA
PA0996	gnl|AGSH|F1S1R1D1B1P1A09_1	99.807	1554	514470	1554	1551	other	pqsA
PA1006	gnl|AGSH|F1S1R1D1B1P1A09_1	100.0	252	514470	252	252	other	
PA1082	gnl|AGSH|F1S1R1D1B1P1A09_1	99.873	786	514470	786	785	surface appendages	flgG
PA1083	gnl|AGSH|F1S1R1D1B1P1A09_1	99.425	696	514470	696	692	surface appendages	flgH
PA1084	gnl|AGSH|F1S1R1D1B1P1A09_1	99.64	1110	514470	1110	1106	surface appendages	flgI
PA1085	gnl|AGSH|F1S1R1D1B1P1A09_1	99.667	1203	514470	1203	1199	surface appendages	flgJ
PA1096	gnl|AGSH|F1S1R1D1B1P1A09_1	100.0	297	514470	32	32	surface appendages	
PA1097	gnl|AGSH|F1S1R1D1B1P1A09_1	99.185	1473	514470	1473	1461	surface appendages	fleQ
PA1098	gnl|AGSH|F1S1R1D1B1P1A09_1	99.09	1209	514470	1209	1198	surface appendages	fleS
PA1099	gnl|AGSH|F1S1R1D1B1P1A09_1	99.719	1422	514470	1422	1418	surface appendages	fleR
PA1100	gnl|AGSH|F1S1R1D1B1P1A09_1	99.394	330	514470	330	328	surface appendages	fliE
PA1101	gnl|AGSH|F1S1R1D1B1P1A09_1	99.833	1797	514470	1797	1794	surface appendages	fliF
PA1102	gnl|AGSH|F1S1R1D1B1P1A09_1	99.902	1017	514470	1017	1016	surface appendages	fliG
PA1103	gnl|AGSH|F1S1R1D1B1P1A09_1	99.876	807	514470	807	806	surface appendages	
PA1104	gnl|AGSH|F1S1R1D1B1P1A09_1	99.558	1356	514470	1356	1350	surface appendages	fliI
PA1105	gnl|AGSH|F1S1R1D1B1P1A09_1	99.775	444	514470	444	443	surface appendages	fliJ
PA1130	gnl|AGSH|F1S1R1D1B1P1A09_1	99.284	978	514470	978	971	biofilm	rhlC
